"","bins","chr","mark"
"81",1,"1","ScnbKXS_3754-HRSCAF-4434_12125489"
"82",1,"1","ScnbKXS_3754-HRSCAF-4434_12921463"
"83",1,"1","ScnbKXS_3754-HRSCAF-4434_13873372"
"84",1,"1","ScnbKXS_3754-HRSCAF-4434_13873862"
"85",1,"1","ScnbKXS_3754-HRSCAF-4434_14099751"
"86",1,"1","ScnbKXS_3754-HRSCAF-4434_14134626"
"87",1,"1","ScnbKXS_3754-HRSCAF-4434_20893386"
"88",1,"1","ScnbKXS_3754-HRSCAF-4434_20893443"
"89",1,"1","ScnbKXS_3754-HRSCAF-4434_20895283"
"90",1,"1","ScnbKXS_3754-HRSCAF-4434_21231189"
"91",1,"1","ScnbKXS_3754-HRSCAF-4434_21231254"
"92",1,"1","ScnbKXS_3754-HRSCAF-4434_21677759"
"93",1,"1","ScnbKXS_3754-HRSCAF-4434_21677840"
"94",1,"1","ScnbKXS_3754-HRSCAF-4434_21678296"
"95",1,"1","ScnbKXS_3754-HRSCAF-4434_21678302"
"96",1,"1","ScnbKXS_3947-HRSCAF-4656_1528733"
"97",1,"1","ScnbKXS_3947-HRSCAF-4656_1533547"
"98",1,"1","ScnbKXS_3947-HRSCAF-4656_2083246"
"99",1,"1","ScnbKXS_3947-HRSCAF-4656_2110235"
"100",1,"1","ScnbKXS_3947-HRSCAF-4656_2110366"
"101",1,"1","ScnbKXS_3947-HRSCAF-4656_2244450"
"102",1,"1","ScnbKXS_3947-HRSCAF-4656_2244501"
"103",1,"1","ScnbKXS_5047-HRSCAF-5925_574944"
"104",1,"1","ScnbKXS_5047-HRSCAF-5925_635150"
"105",1,"1","ScnbKXS_5047-HRSCAF-5925_1350081"
"106",1,"1","ScnbKXS_5047-HRSCAF-5925_1350132"
"107",1,"1","ScnbKXS_5047-HRSCAF-5925_1844248"
"108",1,"1","ScnbKXS_5047-HRSCAF-5925_1844269"
"109",1,"1","ScnbKXS_5047-HRSCAF-5925_1857568"
"110",1,"1","ScnbKXS_5047-HRSCAF-5925_1861725"
"111",1,"1","ScnbKXS_5047-HRSCAF-5925_2393550"
"112",1,"1","ScnbKXS_5047-HRSCAF-5925_2807920"
"113",1,"1","ScnbKXS_5047-HRSCAF-5925_2875299"
"114",1,"1","ScnbKXS_5047-HRSCAF-5925_2875797"
"115",1,"1","ScnbKXS_5047-HRSCAF-5925_2875866"
"116",1,"1","ScnbKXS_5047-HRSCAF-5925_2876571"
"117",1,"1","ScnbKXS_5047-HRSCAF-5925_2911373"
"118",1,"1","ScnbKXS_5047-HRSCAF-5925_3336495"
"119",1,"1","ScnbKXS_5047-HRSCAF-5925_3570222"
"120",1,"1","ScnbKXS_5047-HRSCAF-5925_3583190"
"121",1,"1","ScnbKXS_5047-HRSCAF-5925_3785551"
"122",1,"1","ScnbKXS_5047-HRSCAF-5925_4386301"
"123",1,"1","ScnbKXS_5047-HRSCAF-5925_4439708"
"124",1,"1","ScnbKXS_5047-HRSCAF-5925_4583075"
"125",1,"1","ScnbKXS_5047-HRSCAF-5925_4843388"
"126",1,"1","ScnbKXS_5047-HRSCAF-5925_4844960"
"127",1,"1","ScnbKXS_5047-HRSCAF-5925_4855783"
"128",1,"1","ScnbKXS_5047-HRSCAF-5925_4856154"
"129",1,"1","ScnbKXS_5047-HRSCAF-5925_4918327"
"130",1,"1","ScnbKXS_5047-HRSCAF-5925_4918344"
"131",1,"1","ScnbKXS_5047-HRSCAF-5925_4918369"
"132",1,"1","ScnbKXS_5047-HRSCAF-5925_4994532"
"133",1,"1","ScnbKXS_5047-HRSCAF-5925_6303464"
"134",1,"1","ScnbKXS_5047-HRSCAF-5925_6309743"
"135",1,"1","ScnbKXS_5047-HRSCAF-5925_6421826"
"136",1,"1","ScnbKXS_5047-HRSCAF-5925_6521271"
"137",1,"1","ScnbKXS_7574-HRSCAF-8850_2102243"
"138",1,"1","ScnbKXS_7574-HRSCAF-8850_2102429"
"139",1,"1","ScnbKXS_7574-HRSCAF-8850_2102509"
"140",1,"1","ScnbKXS_8686-HRSCAF-10156_252885"
"141",1,"1","ScnbKXS_8686-HRSCAF-10156_2091736"
"142",1,"1","ScnbKXS_8686-HRSCAF-10156_2097933"
"143",1,"1","ScnbKXS_8686-HRSCAF-10156_2099352"
"144",1,"1","ScnbKXS_8686-HRSCAF-10156_2618286"
"145",1,"1","ScnbKXS_8686-HRSCAF-10156_2624708"
"146",1,"1","ScnbKXS_8686-HRSCAF-10156_2811755"
"147",1,"1","ScnbKXS_9932-HRSCAF-11586_522796"
"148",1,"1","ScnbKXS_9932-HRSCAF-11586_522958"
"149",1,"1","ScnbKXS_9932-HRSCAF-11586_624740"
"150",1,"1","ScnbKXS_9932-HRSCAF-11586_1351881"
"151",1,"1","ScnbKXS_9932-HRSCAF-11586_1604772"
"152",1,"1","ScnbKXS_9932-HRSCAF-11586_1605255"
"153",1,"1","ScnbKXS_9932-HRSCAF-11586_1605684"
"154",1,"1","ScnbKXS_9932-HRSCAF-11586_1609695"
"155",1,"1","ScnbKXS_9932-HRSCAF-11586_1609696"
"156",1,"1","ScnbKXS_9932-HRSCAF-11586_1616735"
"157",1,"1","ScnbKXS_9932-HRSCAF-11586_1616867"
"158",1,"1","ScnbKXS_9932-HRSCAF-11586_1647495"
"159",1,"1","ScnbKXS_9932-HRSCAF-11586_1734243"
"160",1,"1","ScnbKXS_9932-HRSCAF-11586_2270630"
"161",1,"1","ScnbKXS_9932-HRSCAF-11586_2270649"
"162",1,"1","ScnbKXS_9932-HRSCAF-11586_2552672"
"163",1,"1","ScnbKXS_9932-HRSCAF-11586_2755719"
"164",1,"1","ScnbKXS_9932-HRSCAF-11586_3219756"
"165",1,"1","ScnbKXS_9932-HRSCAF-11586_3219786"
"166",1,"1","ScnbKXS_9932-HRSCAF-11586_3219830"
"167",1,"1","ScnbKXS_9932-HRSCAF-11586_3339914"
"168",1,"1","ScnbKXS_9932-HRSCAF-11586_3341060"
"169",1,"1","ScnbKXS_9932-HRSCAF-11586_3341731"
"170",1,"1","ScnbKXS_9932-HRSCAF-11586_3480261"
"171",1,"1","ScnbKXS_9932-HRSCAF-11586_3481161"
"172",1,"1","ScnbKXS_9932-HRSCAF-11586_3485144"
"173",1,"1","ScnbKXS_9932-HRSCAF-11586_3486271"
"174",1,"1","ScnbKXS_9932-HRSCAF-11586_3487026"
"175",1,"1","ScnbKXS_9932-HRSCAF-11586_3487334"
"176",1,"1","ScnbKXS_9932-HRSCAF-11586_3884321"
"177",1,"1","ScnbKXS_9932-HRSCAF-11586_3885644"
"178",1,"1","ScnbKXS_10930-HRSCAF-12734_1179374"
"179",1,"1","ScnbKXS_10930-HRSCAF-12734_1179868"
"180",1,"1","ScnbKXS_10930-HRSCAF-12734_1315926"
"181",1,"1","ScnbKXS_10930-HRSCAF-12734_2746314"
"182",1,"1","ScnbKXS_10930-HRSCAF-12734_2750868"
"183",1,"1","ScnbKXS_10930-HRSCAF-12734_2750869"
"184",1,"1","ScnbKXS_10930-HRSCAF-12734_2751205"
"185",1,"1","ScnbKXS_10930-HRSCAF-12734_2751607"
"186",1,"1","ScnbKXS_10930-HRSCAF-12734_2751801"
"187",1,"1","ScnbKXS_11131-HRSCAF-12978_10211203"
"188",1,"1","ScnbKXS_13921-HRSCAF-16245_65889"
"189",1,"1","ScnbKXS_13921-HRSCAF-16245_65893"
"190",1,"1","ScnbKXS_13921-HRSCAF-16245_105101"
"191",1,"1","ScnbKXS_13921-HRSCAF-16245_280207"
"192",1,"1","ScnbKXS_13921-HRSCAF-16245_372329"
"193",1,"1","ScnbKXS_13921-HRSCAF-16245_372389"
"194",1,"1","ScnbKXS_13921-HRSCAF-16245_382243"
"195",1,"1","ScnbKXS_13921-HRSCAF-16245_382326"
"196",1,"1","ScnbKXS_13921-HRSCAF-16245_382375"
"197",1,"1","ScnbKXS_13921-HRSCAF-16245_382996"
"198",1,"1","ScnbKXS_13921-HRSCAF-16245_383959"
"199",1,"1","ScnbKXS_13921-HRSCAF-16245_384304"
"200",1,"1","ScnbKXS_13921-HRSCAF-16245_384476"
"201",1,"1","ScnbKXS_13921-HRSCAF-16245_533604"
"202",1,"1","ScnbKXS_13921-HRSCAF-16245_555330"
"203",1,"1","ScnbKXS_13921-HRSCAF-16245_555952"
"204",1,"1","ScnbKXS_13921-HRSCAF-16245_556431"
"205",1,"1","ScnbKXS_13921-HRSCAF-16245_1196648"
"206",1,"1","ScnbKXS_13921-HRSCAF-16245_1269601"
"207",1,"1","ScnbKXS_13921-HRSCAF-16245_1271524"
"208",1,"1","ScnbKXS_13921-HRSCAF-16245_1747028"
"209",1,"1","ScnbKXS_13921-HRSCAF-16245_2818585"
"210",1,"1","ScnbKXS_13921-HRSCAF-16245_3414746"
"211",1,"1","ScnbKXS_13921-HRSCAF-16245_3415036"
"212",1,"1","ScnbKXS_13921-HRSCAF-16245_3425248"
"213",1,"1","ScnbKXS_13921-HRSCAF-16245_3427466"
"214",1,"1","ScnbKXS_13921-HRSCAF-16245_4561659"
"215",1,"1","ScnbKXS_13921-HRSCAF-16245_5038873"
"216",1,"1","ScnbKXS_13921-HRSCAF-16245_5322521"
"217",1,"1","ScnbKXS_13921-HRSCAF-16245_5322815"
"218",1,"1","ScnbKXS_13921-HRSCAF-16245_5771072"
"219",1,"1","ScnbKXS_13921-HRSCAF-16245_6617435"
"220",1,"1","ScnbKXS_13921-HRSCAF-16245_6859690"
"221",1,"1","ScnbKXS_13921-HRSCAF-16245_7489965"
"222",1,"1","ScnbKXS_13921-HRSCAF-16245_8938363"
"223",1,"1","ScnbKXS_13921-HRSCAF-16245_10351877"
"224",1,"1","ScnbKXS_14162-HRSCAF-16520_81184967"
"225",1,"1","ScnbKXS_14162-HRSCAF-16520_81184980"
"226",1,"1","ScnbKXS_14162-HRSCAF-16520_81191114"
"227",1,"1","ScnbKXS_14162-HRSCAF-16520_81193396"
"228",1,"1","ScnbKXS_14162-HRSCAF-16520_81237455"
"229",1,"1","ScnbKXS_14162-HRSCAF-16520_81240963"
"230",1,"1","ScnbKXS_14162-HRSCAF-16520_81244354"
"231",1,"1","ScnbKXS_14162-HRSCAF-16520_81245262"
"232",1,"1","ScnbKXS_14162-HRSCAF-16520_120641869"
"233",1,"1","ScnbKXS_14219-HRSCAF-16584_158216"
"234",1,"1","ScnbKXS_14219-HRSCAF-16584_158503"
"235",1,"1","ScnbKXS_14219-HRSCAF-16584_2403460"
"236",1,"1","ScnbKXS_14219-HRSCAF-16584_2403801"
"237",1,"1","ScnbKXS_14219-HRSCAF-16584_2404785"
"238",1,"1","ScnbKXS_14219-HRSCAF-16584_3175759"
"239",1,"1","ScnbKXS_14219-HRSCAF-16584_3314999"
"240",1,"1","ScnbKXS_14219-HRSCAF-16584_3317036"
"241",1,"1","ScnbKXS_14219-HRSCAF-16584_3350582"
"242",1,"1","ScnbKXS_14219-HRSCAF-16584_3354453"
"243",1,"1","ScnbKXS_14219-HRSCAF-16584_3358973"
"244",1,"1","ScnbKXS_14219-HRSCAF-16584_3360119"
"245",1,"1","ScnbKXS_14219-HRSCAF-16584_3360123"
"246",1,"1","ScnbKXS_14219-HRSCAF-16584_3360542"
"247",1,"1","ScnbKXS_14219-HRSCAF-16584_3584753"
"248",1,"1","ScnbKXS_14219-HRSCAF-16584_3865760"
"249",1,"1","ScnbKXS_14219-HRSCAF-16584_3865787"
"250",1,"1","ScnbKXS_14219-HRSCAF-16584_5839827"
"251",1,"1","ScnbKXS_14219-HRSCAF-16584_5839914"
"252",1,"1","ScnbKXS_15927-HRSCAF-18817_213594"
"253",1,"1","ScnbKXS_15927-HRSCAF-18817_216154"
"254",1,"1","ScnbKXS_15927-HRSCAF-18817_268384"
"255",1,"1","ScnbKXS_15927-HRSCAF-18817_268385"
"256",1,"1","ScnbKXS_15927-HRSCAF-18817_268485"
"257",1,"1","ScnbKXS_15927-HRSCAF-18817_282281"
"258",1,"1","ScnbKXS_15927-HRSCAF-18817_651087"
"259",1,"1","ScnbKXS_15927-HRSCAF-18817_651132"
"260",1,"1","ScnbKXS_15927-HRSCAF-18817_926050"
"261",1,"1","ScnbKXS_15927-HRSCAF-18817_927775"
"262",1,"1","ScnbKXS_15927-HRSCAF-18817_927796"
"263",1,"1","ScnbKXS_15927-HRSCAF-18817_954647"
"264",1,"1","ScnbKXS_15927-HRSCAF-18817_964555"
"265",1,"1","ScnbKXS_15927-HRSCAF-18817_1350949"
"266",1,"1","ScnbKXS_15927-HRSCAF-18817_1350960"
"267",1,"1","ScnbKXS_15927-HRSCAF-18817_1351103"
"268",1,"1","ScnbKXS_15927-HRSCAF-18817_1740328"
"269",1,"1","ScnbKXS_15927-HRSCAF-18817_1766904"
"270",1,"1","ScnbKXS_15927-HRSCAF-18817_1770019"
"271",1,"1","ScnbKXS_15927-HRSCAF-18817_1791960"
"272",1,"1","ScnbKXS_15927-HRSCAF-18817_1792029"
"273",1,"1","ScnbKXS_15927-HRSCAF-18817_1792220"
"274",1,"1","ScnbKXS_15927-HRSCAF-18817_1794055"
"275",1,"1","ScnbKXS_15927-HRSCAF-18817_2131721"
"276",1,"1","ScnbKXS_15927-HRSCAF-18817_2136969"
"277",1,"1","ScnbKXS_15927-HRSCAF-18817_2138434"
"278",1,"1","ScnbKXS_15927-HRSCAF-18817_2138679"
"279",1,"1","ScnbKXS_15927-HRSCAF-18817_2138938"
"280",1,"1","ScnbKXS_15927-HRSCAF-18817_2139035"
"281",1,"1","ScnbKXS_15927-HRSCAF-18817_2716536"
"282",1,"1","ScnbKXS_15927-HRSCAF-18817_2716880"
"283",1,"1","ScnbKXS_15927-HRSCAF-18817_2716883"
"284",1,"1","ScnbKXS_15927-HRSCAF-18817_2716930"
"285",1,"1","ScnbKXS_15927-HRSCAF-18817_2720120"
"286",1,"1","ScnbKXS_15927-HRSCAF-18817_2720202"
"287",1,"1","ScnbKXS_15927-HRSCAF-18817_2720617"
"288",1,"1","ScnbKXS_15927-HRSCAF-18817_2722388"
"289",1,"1","ScnbKXS_15927-HRSCAF-18817_2722612"
"290",1,"1","ScnbKXS_15927-HRSCAF-18817_2725319"
"291",1,"1","ScnbKXS_15927-HRSCAF-18817_3030311"
"292",1,"1","ScnbKXS_15927-HRSCAF-18817_3030320"
"293",1,"1","ScnbKXS_15927-HRSCAF-18817_3033139"
"294",1,"1","ScnbKXS_15927-HRSCAF-18817_3144463"
"295",1,"1","ScnbKXS_15927-HRSCAF-18817_3774465"
"296",1,"1","ScnbKXS_15927-HRSCAF-18817_3774554"
"297",1,"1","ScnbKXS_15927-HRSCAF-18817_3774556"
"298",1,"1","ScnbKXS_15927-HRSCAF-18817_3856145"
"299",1,"1","ScnbKXS_15927-HRSCAF-18817_3859256"
"300",1,"1","ScnbKXS_15927-HRSCAF-18817_3889377"
"301",1,"1","ScnbKXS_15927-HRSCAF-18817_4191035"
"302",1,"1","ScnbKXS_15927-HRSCAF-18817_4192766"
"303",1,"1","ScnbKXS_15927-HRSCAF-18817_4192769"
"304",1,"1","ScnbKXS_15927-HRSCAF-18817_4293095"
"305",1,"1","ScnbKXS_15927-HRSCAF-18817_4409117"
"306",1,"1","ScnbKXS_15927-HRSCAF-18817_4412716"
"307",1,"1","ScnbKXS_15927-HRSCAF-18817_4412765"
"308",1,"1","ScnbKXS_15927-HRSCAF-18817_4698261"
"309",1,"1","ScnbKXS_15927-HRSCAF-18817_4698499"
"310",1,"1","ScnbKXS_15927-HRSCAF-18817_4862827"
"311",1,"1","ScnbKXS_15927-HRSCAF-18817_4942541"
"312",1,"1","ScnbKXS_15927-HRSCAF-18817_4945367"
"313",1,"1","ScnbKXS_15927-HRSCAF-18817_4945481"
"314",1,"1","ScnbKXS_15927-HRSCAF-18817_5445976"
"315",1,"1","ScnbKXS_15927-HRSCAF-18817_5948659"
"316",1,"1","ScnbKXS_15927-HRSCAF-18817_5975637"
"317",1,"1","ScnbKXS_15927-HRSCAF-18817_6018808"
"318",1,"1","ScnbKXS_15927-HRSCAF-18817_6155698"
"319",1,"1","ScnbKXS_15927-HRSCAF-18817_6157436"
"320",1,"1","ScnbKXS_15927-HRSCAF-18817_6157648"
"321",1,"1","ScnbKXS_15927-HRSCAF-18817_6159297"
"322",1,"1","ScnbKXS_15927-HRSCAF-18817_6159363"
"323",1,"1","ScnbKXS_15927-HRSCAF-18817_6182624"
"324",1,"1","ScnbKXS_15927-HRSCAF-18817_6182948"
"325",1,"1","ScnbKXS_15927-HRSCAF-18817_6248705"
"326",1,"1","ScnbKXS_15927-HRSCAF-18817_6269812"
"327",1,"1","ScnbKXS_15927-HRSCAF-18817_6467614"
"328",1,"1","ScnbKXS_15927-HRSCAF-18817_6513389"
"329",1,"1","ScnbKXS_15927-HRSCAF-18817_6513876"
"330",1,"1","ScnbKXS_15927-HRSCAF-18817_6540984"
"331",1,"1","ScnbKXS_16328-HRSCAF-19671_554344"
"332",1,"1","ScnbKXS_16328-HRSCAF-19671_554345"
"333",1,"1","ScnbKXS_16328-HRSCAF-19671_554398"
"334",1,"1","ScnbKXS_16328-HRSCAF-19671_568024"
"335",1,"1","ScnbKXS_16328-HRSCAF-19671_580094"
"336",1,"1","ScnbKXS_16918-HRSCAF-20903_204498"
"337",1,"1","ScnbKXS_16918-HRSCAF-20903_291627"
"338",1,"1","ScnbKXS_16918-HRSCAF-20903_1158161"
"339",1,"1","ScnbKXS_16918-HRSCAF-20903_1158887"
"340",1,"1","ScnbKXS_16918-HRSCAF-20903_1158974"
"341",1,"1","ScnbKXS_16918-HRSCAF-20903_1159685"
"342",1,"1","ScnbKXS_16918-HRSCAF-20903_1159754"
"343",1,"1","ScnbKXS_16918-HRSCAF-20903_1160206"
"344",1,"1","ScnbKXS_16918-HRSCAF-20903_1161868"
"345",1,"1","ScnbKXS_16918-HRSCAF-20903_1161965"
"346",1,"1","ScnbKXS_16918-HRSCAF-20903_1162738"
"347",1,"1","ScnbKXS_16918-HRSCAF-20903_1200440"
"348",1,"1","ScnbKXS_16918-HRSCAF-20903_2603089"
"349",1,"1","ScnbKXS_16918-HRSCAF-20903_2603549"
"350",1,"1","ScnbKXS_16918-HRSCAF-20903_2622580"
"351",1,"1","ScnbKXS_16918-HRSCAF-20903_3189102"
"352",1,"1","ScnbKXS_17162-HRSCAF-21394_558727"
"353",1,"1","ScnbKXS_17162-HRSCAF-21394_560158"
"354",1,"1","ScnbKXS_17162-HRSCAF-21394_1006666"
"355",1,"1","ScnbKXS_17162-HRSCAF-21394_1006727"
"356",1,"1","ScnbKXS_17162-HRSCAF-21394_1007395"
"357",1,"1","ScnbKXS_17162-HRSCAF-21394_1007433"
"358",1,"1","ScnbKXS_17266-HRSCAF-21558_36804433"
"359",1,"1","ScnbKXS_17266-HRSCAF-21558_36807291"
"360",1,"1","ScnbKXS_17266-HRSCAF-21558_36807366"
"361",1,"1","ScnbKXS_17266-HRSCAF-21558_36812159"
"362",1,"1","ScnbKXS_17266-HRSCAF-21558_36812201"
"363",1,"1","ScnbKXS_17266-HRSCAF-21558_36812586"
"364",1,"1","ScnbKXS_17266-HRSCAF-21558_36812682"
"365",1,"1","ScnbKXS_17266-HRSCAF-21558_36925671"
"366",2,"1","ScnbKXS_292-HRSCAF-342_82975"
"367",2,"1","ScnbKXS_292-HRSCAF-342_44659"
"368",2,"1","ScnbKXS_1784-HRSCAF-2109_10274339"
"369",2,"1","ScnbKXS_1784-HRSCAF-2109_10274466"
"370",2,"1","ScnbKXS_1784-HRSCAF-2109_10274469"
"371",2,"1","ScnbKXS_3564-HRSCAF-4214_761934"
"372",2,"1","ScnbKXS_3564-HRSCAF-4214_763170"
"373",2,"1","ScnbKXS_3564-HRSCAF-4214_1592843"
"374",2,"1","ScnbKXS_3564-HRSCAF-4214_1920427"
"375",2,"1","ScnbKXS_3564-HRSCAF-4214_1923009"
"376",2,"1","ScnbKXS_3564-HRSCAF-4214_1924081"
"377",2,"1","ScnbKXS_3564-HRSCAF-4214_1926317"
"378",2,"1","ScnbKXS_3564-HRSCAF-4214_2552334"
"379",2,"1","ScnbKXS_3564-HRSCAF-4214_2671779"
"380",2,"1","ScnbKXS_3564-HRSCAF-4214_2976081"
"381",2,"1","ScnbKXS_3564-HRSCAF-4214_2978245"
"382",2,"1","ScnbKXS_3564-HRSCAF-4214_3392010"
"383",2,"1","ScnbKXS_3564-HRSCAF-4214_3566447"
"384",2,"1","ScnbKXS_3564-HRSCAF-4214_3638661"
"385",2,"1","ScnbKXS_3754-HRSCAF-4434_172930"
"386",2,"1","ScnbKXS_3754-HRSCAF-4434_1045983"
"387",2,"1","ScnbKXS_3754-HRSCAF-4434_1167376"
"388",2,"1","ScnbKXS_3754-HRSCAF-4434_2350941"
"389",2,"1","ScnbKXS_3754-HRSCAF-4434_2999302"
"390",2,"1","ScnbKXS_3754-HRSCAF-4434_3000783"
"391",2,"1","ScnbKXS_3754-HRSCAF-4434_3001102"
"392",2,"1","ScnbKXS_3754-HRSCAF-4434_3982489"
"393",2,"1","ScnbKXS_3754-HRSCAF-4434_3983343"
"394",2,"1","ScnbKXS_3754-HRSCAF-4434_4689371"
"395",2,"1","ScnbKXS_3754-HRSCAF-4434_4689392"
"396",2,"1","ScnbKXS_3754-HRSCAF-4434_4776435"
"397",2,"1","ScnbKXS_3754-HRSCAF-4434_5935786"
"398",2,"1","ScnbKXS_3754-HRSCAF-4434_6290801"
"399",2,"1","ScnbKXS_3754-HRSCAF-4434_6537981"
"400",2,"1","ScnbKXS_3754-HRSCAF-4434_9929339"
"401",2,"1","ScnbKXS_3754-HRSCAF-4434_10766474"
"402",2,"1","ScnbKXS_3754-HRSCAF-4434_10766496"
"403",2,"1","ScnbKXS_3754-HRSCAF-4434_11027083"
"404",2,"1","ScnbKXS_3754-HRSCAF-4434_11028101"
"405",2,"1","ScnbKXS_3754-HRSCAF-4434_11028131"
"406",2,"1","ScnbKXS_3754-HRSCAF-4434_11028561"
"407",2,"1","ScnbKXS_3754-HRSCAF-4434_11089085"
"408",2,"1","ScnbKXS_3754-HRSCAF-4434_11192673"
"409",2,"1","ScnbKXS_3754-HRSCAF-4434_11496103"
"410",2,"1","ScnbKXS_3754-HRSCAF-4434_11693706"
"411",2,"1","ScnbKXS_3754-HRSCAF-4434_11922274"
"412",2,"1","ScnbKXS_3754-HRSCAF-4434_11923073"
"413",2,"1","ScnbKXS_3754-HRSCAF-4434_11923499"
