"","scaffold","ref_start","ref_end","LG","LG_position_start","LG_position_end","locus","samp_sizetot","SynSitestot","Dxy_Ks_NMX","scaffold.1","scaffold_num","pct_identical","length","n_mismatch","n_gaps","q_start","q_end","ref_start.1","ref_end.1","evalue","bitscore"
"32",326,80378,80163,"L.10",107575639,107575854,7140,24,51.81333333,0.046755995,"ScnbKXS_326;HRSCAF=382",326,100,216,0,0,41,256,80378,80163,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000351,399
"33",16068,155363,155546,"L.10",116389243,116389060,3973,24,288.9133333,0.046340887,"ScnbKXS_16068;HRSCAF=19143",16068,99.459,185,0,1,1,185,155363,155546,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000458,335
"35",16068,156380,157530,"L.10",116388226,116387076,3973,24,288.9133333,0.046340887,"ScnbKXS_16068;HRSCAF=19143",16068,99.913,1151,1,0,726,1876,156380,157530,0,2121
"38",10265,101131,101048,"L.10",107833872,107833955,7000,18,135.8157895,0.040915792,"ScnbKXS_10265;HRSCAF=11957",10265,100,84,0,0,1044,1127,101131,101048,0.0000000000000000000000000000000000181,156
"39",10265,101286,101231,"L.10",107833717,107833772,7000,18,135.8157895,0.040915792,"ScnbKXS_10265;HRSCAF=11957",10265,100,56,0,0,988,1043,101286,101231,0.0000000000000000000665,104
"41",10265,101850,101728,"L.10",107833153,107833275,7000,18,135.8157895,0.040915792,"ScnbKXS_10265;HRSCAF=11957",10265,100,123,0,0,794,916,101850,101728,0.00000000000000000000000000000000000000000000000000000000378,228
"43",10265,102466,102396,"L.10",107832537,107832607,7000,18,135.8157895,0.040915792,"ScnbKXS_10265;HRSCAF=11957",10265,100,71,0,0,658,728,102466,102396,0.000000000000000000000000000305,132
"44",10265,103552,103856,"L.10",107831451,107831147,7000,18,135.8157895,0.040915792,"ScnbKXS_10265;HRSCAF=11957",10265,99.016,305,3,0,1,305,103552,103856,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000256,547
"47",17208,6059,6202,"L.10",118204783,118204640,5349,24,166.5266667,0.037927167,"ScnbKXS_17208;HRSCAF=21473",17208,99.306,144,1,0,915,1058,6059,6202,0.000000000000000000000000000000000000000000000000000000000000000000644,261
"48",17208,6286,6403,"L.10",118204556,118204439,5349,24,166.5266667,0.037927167,"ScnbKXS_17208;HRSCAF=21473",17208,99.153,118,1,0,1056,1173,6286,6403,0.000000000000000000000000000000000000000000000000000183,213
"49",17208,6481,6656,"L.10",118204361,118204186,5349,24,166.5266667,0.037927167,"ScnbKXS_17208;HRSCAF=21473",17208,99.432,176,0,1,1171,1345,6481,6656,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000377,318
"50",17208,7033,7152,"L.10",118203809,118203690,5349,24,166.5266667,0.037927167,"ScnbKXS_17208;HRSCAF=21473",17208,99.167,120,1,0,1343,1462,7033,7152,0.0000000000000000000000000000000000000000000000000000141,217
"51",17208,7270,7883,"L.10",118203572,118202959,5349,24,166.5266667,0.037927167,"ScnbKXS_17208;HRSCAF=21473",17208,99.511,614,3,0,1463,2076,7270,7883,0,1118
"52",16039,299627,299962,"L.10",136505842,136505507,3656,22,138.2536232,0.037090376,"ScnbKXS_16039;HRSCAF=19078",16039,99.107,336,3,0,1,336,299627,299962,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019,604
"56",16039,302628,302879,"L.10",136502841,136502590,3656,22,138.2536232,0.037090376,"ScnbKXS_16039;HRSCAF=19078",16039,99.603,252,1,0,437,688,302628,302879,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000436,460
"57",16039,302837,302797,"L.10",136502632,136502672,3656,22,138.2536232,0.037090376,"ScnbKXS_16039;HRSCAF=19078",16039,100,41,0,0,685,725,302837,302797,0.0000000000185,76.8
"60",7594,3829806,3829578,"L.10",112440177,112440405,589,24,272.66,0.036178427,"ScnbKXS_7594;HRSCAF=8876",7594,99.127,229,2,0,4303,4531,3829806,3829578,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000475,412
"61",7594,3830334,3830114,"L.10",112439649,112439869,589,24,272.66,0.036178427,"ScnbKXS_7594;HRSCAF=8876",7594,99.095,221,2,0,4082,4302,3830334,3830114,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000133,398
"72",15686,88517,88283,"L.10",101966381,101966615,2221,12,171.5128205,0.035863406,"ScnbKXS_15686;HRSCAF=18324",15686,99.149,235,1,1,1339,1572,88517,88283,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000571,422
"75",15686,89196,89127,"L.10",101965702,101965771,2221,12,171.5128205,0.035863406,"ScnbKXS_15686;HRSCAF=18324",15686,100,70,0,0,1607,1676,89196,89127,0.00000000000000000000000000387,130
"76",15686,89440,89541,"L.10",101965458,101965357,2221,12,171.5128205,0.035863406,"ScnbKXS_15686;HRSCAF=18324",15686,99.02,102,0,1,1088,1188,89440,89541,0.00000000000000000000000000000000000000000105,182
"78",15686,89516,89478,"L.10",101965382,101965420,2221,12,171.5128205,0.035863406,"ScnbKXS_15686;HRSCAF=18324",15686,100,39,0,0,1677,1715,89516,89478,0.000000000662,73.1
"79",15686,89797,89520,"L.10",101965101,101965378,2221,12,171.5128205,0.035863406,"ScnbKXS_15686;HRSCAF=18324",15686,100,278,0,0,1729,2006,89797,89520,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000916,514
"80",15686,89961,89883,"L.10",101964937,101965015,2221,12,171.5128205,0.035863406,"ScnbKXS_15686;HRSCAF=18324",15686,100,79,0,0,1181,1259,89961,89883,0.0000000000000000000000000000000385,147
"87",16100,4653,4690,"L.10",136886876,136886839,2178,22,245.0362319,0.033318983,"ScnbKXS_16100;HRSCAF=19211",16100,100,38,0,0,1759,1796,4653,4690,0.00000000128,71.3
"89",16737,2951745,2950849,"L.10",93074662,93075558,3714,24,162.26,0.025028391,"ScnbKXS_16737;HRSCAF=20534",16737,99.777,897,2,0,1,897,2951745,2950849,0,1646
"90",16672,80135,80370,"L.10",108065974,108065739,6921,24,124.1733333,0.024534898,"ScnbKXS_16672;HRSCAF=20387",16672,99.576,236,1,0,591,826,80135,80370,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000598,431
"91",16672,80370,80126,"L.10",108065739,108065983,6921,24,124.1733333,0.024534898,"ScnbKXS_16672;HRSCAF=20387",16672,99.184,245,2,0,1843,2087,80370,80126,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000276,442
"96",16672,81312,81421,"L.10",108064797,108064688,6921,24,124.1733333,0.024534898,"ScnbKXS_16672;HRSCAF=20387",16672,99.091,110,1,0,1006,1115,81312,81421,0.0000000000000000000000000000000000000000000000066,198
"97",16672,81358,81400,"L.10",108064751,108064709,6921,24,124.1733333,0.024534898,"ScnbKXS_16672;HRSCAF=20387",16672,100,43,0,0,2079,2121,81358,81400,0.00000000000249,80.5
"98",16672,81421,81312,"L.10",108064688,108064797,6921,24,124.1733333,0.024534898,"ScnbKXS_16672;HRSCAF=20387",16672,100,110,0,0,1554,1663,81421,81312,0.000000000000000000000000000000000000000000000000142,204
"100",16672,81818,81509,"L.10",108064291,108064600,6921,24,124.1733333,0.024534898,"ScnbKXS_16672;HRSCAF=20387",16672,99.032,310,0,1,1250,1556,81818,81509,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000122,553
"101",16761,43077,43112,"L.10",102469042,102469007,3638,24,636.7466667,0.022793849,"ScnbKXS_16761;HRSCAF=20580",16761,100,36,0,0,23,58,43077,43112,0.0000000268,67.6
"106",16761,46356,46459,"L.10",102465763,102465660,3638,24,636.7466667,0.022793849,"ScnbKXS_16761;HRSCAF=20580",16761,99.038,104,1,0,1688,1791,46356,46459,0.0000000000000000000000000000000000000000000197,187
"107",16761,46910,46998,"L.10",102465209,102465121,3638,24,636.7466667,0.022793849,"ScnbKXS_16761;HRSCAF=20580",16761,100,89,0,0,1792,1880,46910,46998,0.0000000000000000000000000000000000000925,165
"108",16761,47982,48159,"L.10",102464137,102463960,3638,24,636.7466667,0.022793849,"ScnbKXS_16761;HRSCAF=20580",16761,99.438,178,1,0,1881,2058,47982,48159,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000144,324
"111",16761,49156,49217,"L.10",102462963,102462902,3638,24,636.7466667,0.022793849,"ScnbKXS_16761;HRSCAF=20580",16761,100,62,0,0,2684,2745,49156,49217,0.0000000000000000000000945,115
"113",16761,50451,50586,"L.10",102461668,102461533,3638,24,636.7466667,0.022793849,"ScnbKXS_16761;HRSCAF=20580",16761,99.265,136,1,0,2875,3010,50451,50586,0.0000000000000000000000000000000000000000000000000000000000000321,246
"125",16761,78254,78151,"L.10",102433865,102433968,3638,24,636.7466667,0.022793849,"ScnbKXS_16761;HRSCAF=20580",16761,100,104,0,0,1688,1791,78254,78151,0.000000000000000000000000000000000000000000000424,193
"128",16761,81021,80946,"L.10",102431098,102431173,3638,24,636.7466667,0.022793849,"ScnbKXS_16761;HRSCAF=20580",16761,100,76,0,0,367,442,81021,80946,0.00000000000000000000000000000156,141
"130",7634,10869,11362,"L.10",100883538,100883045,11471,6,138.547619,0.021952787,"ScnbKXS_7634;HRSCAF=8917",7634,99.798,494,1,0,1,494,10869,11362,0,907
"131",7634,11937,12598,"L.10",100882470,100881809,11471,6,138.547619,0.021952787,"ScnbKXS_7634;HRSCAF=8917",7634,99.548,663,0,3,494,1154,11937,12598,0,1205
"132",316,390388,389769,"L.10",100079526,100080145,24674,24,50.18,0.020106518,"ScnbKXS_316;HRSCAF=371",316,99.034,621,4,2,320,939,390388,389769,0,1112
"134",316,390870,390799,"L.10",100079044,100079115,24674,24,50.18,0.020106518,"ScnbKXS_316;HRSCAF=371",316,100,72,0,0,158,229,390870,390799,0.0000000000000000000000000000656,134
"135",316,391350,391275,"L.10",100078564,100078639,24674,24,50.18,0.020106518,"ScnbKXS_316;HRSCAF=371",316,100,76,0,0,84,159,391350,391275,0.000000000000000000000000000000392,141
"138",16761,28941,28900,"L.10",102483178,102483219,1252,22,243.3405797,0.019980832,"ScnbKXS_16761;HRSCAF=20580",16761,100,42,0,0,3082,3123,28941,28900,0.0000000000105,78.7
"139",16761,29131,28852,"L.10",102482988,102483267,1252,22,243.3405797,0.019980832,"ScnbKXS_16761;HRSCAF=20580",16761,100,280,0,0,2230,2509,29131,28852,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000523,518
"140",16761,29510,29309,"L.10",102482609,102482810,1252,22,243.3405797,0.019980832,"ScnbKXS_16761;HRSCAF=20580",16761,100,202,0,0,2030,2231,29510,29309,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012,374
"142",16761,29720,29575,"L.10",102482399,102482544,1252,22,243.3405797,0.019980832,"ScnbKXS_16761;HRSCAF=20580",16761,99.315,146,1,0,1884,2029,29720,29575,0.0000000000000000000000000000000000000000000000000000000000000000000752,265
"143",16761,30039,29803,"L.10",102482080,102482316,1252,22,243.3405797,0.019980832,"ScnbKXS_16761;HRSCAF=20580",16761,99.156,237,2,0,1653,1889,30039,29803,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000906,427
"150",16761,64711,64798,"L.10",102447408,102447321,1252,22,243.3405797,0.019980832,"ScnbKXS_16761;HRSCAF=20580",16761,100,88,0,0,2510,2597,64711,64798,0.000000000000000000000000000000000000282,163
"152",16761,66631,67248,"L.10",102445488,102444871,1252,22,243.3405797,0.019980832,"ScnbKXS_16761;HRSCAF=20580",16761,100,618,0,0,1041,1658,66631,67248,0,1142
"153",16761,67248,66655,"L.10",102444871,102445464,1252,22,243.3405797,0.019980832,"ScnbKXS_16761;HRSCAF=20580",16761,100,594,0,0,357,950,67248,66655,0,1098
"154",16761,68864,69100,"L.10",102443255,102443019,1252,22,243.3405797,0.019980832,"ScnbKXS_16761;HRSCAF=20580",16761,100,237,0,0,1653,1889,68864,69100,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000419,438
"155",16761,69179,69328,"L.10",102442940,102442791,1252,22,243.3405797,0.019980832,"ScnbKXS_16761;HRSCAF=20580",16761,99.333,150,1,0,1880,2029,69179,69328,0.000000000000000000000000000000000000000000000000000000000000000000000449,272
"156",16761,69224,68864,"L.10",102442895,102443255,1252,22,243.3405797,0.019980832,"ScnbKXS_16761;HRSCAF=20580",16761,99.724,362,0,1,1,362,69224,68864,0,662
"157",16761,69394,69595,"L.10",102442725,102442524,1252,22,243.3405797,0.019980832,"ScnbKXS_16761;HRSCAF=20580",16761,100,202,0,0,2030,2231,69394,69595,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012,374
"158",16761,69772,70051,"L.10",102442347,102442068,1252,22,243.3405797,0.019980832,"ScnbKXS_16761;HRSCAF=20580",16761,100,280,0,0,2230,2509,69772,70051,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000523,518
"159",16761,69962,70003,"L.10",102442157,102442116,1252,22,243.3405797,0.019980832,"ScnbKXS_16761;HRSCAF=20580",16761,100,42,0,0,3082,3123,69962,70003,0.0000000000105,78.7
"162",16737,4245838,4245797,"L.10",91780569,91780610,2063,24,158.1733333,0.019190812,"ScnbKXS_16737;HRSCAF=20534",16737,100,42,0,0,1,42,4245838,4245797,0.00000000000347,78.7
"163",16737,4245989,4246090,"L.10",91780418,91780317,2063,24,158.1733333,0.019190812,"ScnbKXS_16737;HRSCAF=20534",16737,100,102,0,0,210,311,4245989,4246090,0.00000000000000000000000000000000000000000000153,189
"165",16737,4247782,4248242,"L.10",91778625,91778165,2063,24,158.1733333,0.019190812,"ScnbKXS_16737;HRSCAF=20534",16737,99.351,462,2,1,582,1043,4247782,4248242,0,835
"169",16737,4294920,4295383,"L.10",91731487,91731024,2063,24,158.1733333,0.019190812,"ScnbKXS_16737;HRSCAF=20534",16737,99.138,464,2,2,582,1043,4294920,4295383,0,833
"170",326,2452503,2452276,"L.10",105203514,105203741,3170,24,1003.98,0.019163467,"ScnbKXS_326;HRSCAF=382",326,99.563,229,0,1,5201,5429,2452503,2452276,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000343,416
"176",326,2485883,2485509,"L.10",105170134,105170508,3170,24,1003.98,0.019163467,"ScnbKXS_326;HRSCAF=382",326,99.733,375,1,0,458,832,2485883,2485509,0,688
"181",10272,28689,28762,"L.10",116573916,116573843,12402,18,262.3157895,0.016678936,"ScnbKXS_10272;HRSCAF=11965",10272,100,74,0,0,1,74,28689,28762,0.0000000000000000000000000000114,137
"182",10272,28891,28998,"L.10",116573714,116573607,12402,18,262.3157895,0.016678936,"ScnbKXS_10272;HRSCAF=11965",10272,99.074,108,1,0,75,182,28891,28998,0.0000000000000000000000000000000000000000000000665,195
"184",10272,30003,30108,"L.10",116572602,116572497,12402,18,262.3157895,0.016678936,"ScnbKXS_10272;HRSCAF=11965",10272,100,106,0,0,344,449,30003,30108,0.0000000000000000000000000000000000000000000000185,196
"190",16039,176197,176303,"L.10",136629272,136629166,2356,24,191.1866667,0.015825757,"ScnbKXS_16039;HRSCAF=19078",16039,100,107,0,0,1,107,176197,176303,0.00000000000000000000000000000000000000000000000286,198
"191",16039,176633,176828,"L.10",136628836,136628641,2356,24,191.1866667,0.015825757,"ScnbKXS_16039;HRSCAF=19078",16039,100,196,0,0,107,302,176633,176828,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000958,363
"192",16039,177408,177496,"L.10",136628061,136627973,2356,24,191.1866667,0.015825757,"ScnbKXS_16039;HRSCAF=19078",16039,100,89,0,0,300,388,177408,177496,0.000000000000000000000000000000000000029,165
"194",16039,178319,178382,"L.10",136627150,136627087,2356,24,191.1866667,0.015825757,"ScnbKXS_16039;HRSCAF=19078",16039,100,64,0,0,445,508,178319,178382,0.00000000000000000000000229,119
"196",16039,178997,179076,"L.10",136626472,136626393,2356,24,191.1866667,0.015825757,"ScnbKXS_16039;HRSCAF=19078",16039,100,80,0,0,598,677,178997,179076,0.00000000000000000000000000000000292,148
"197",16039,179148,179233,"L.10",136626321,136626236,2356,24,191.1866667,0.015825757,"ScnbKXS_16039;HRSCAF=19078",16039,100,86,0,0,674,759,179148,179233,0.00000000000000000000000000000000000135,159
"201",16039,185426,185514,"L.10",136620043,136619955,2356,24,191.1866667,0.015825757,"ScnbKXS_16039;HRSCAF=19078",16039,100,89,0,0,300,388,185426,185514,0.000000000000000000000000000000000000029,165
"203",16039,186336,186399,"L.10",136619133,136619070,2356,24,191.1866667,0.015825757,"ScnbKXS_16039;HRSCAF=19078",16039,100,64,0,0,445,508,186336,186399,0.00000000000000000000000229,119
"205",16039,187013,187092,"L.10",136618456,136618377,2356,24,191.1866667,0.015825757,"ScnbKXS_16039;HRSCAF=19078",16039,100,80,0,0,598,677,187013,187092,0.00000000000000000000000000000000292,148
"207",16039,187405,187819,"L.10",136618064,136617650,2356,24,191.1866667,0.015825757,"ScnbKXS_16039;HRSCAF=19078",16039,99.038,416,1,3,759,1172,187405,187819,0,743
"210",16761,241064,240919,"L.10",102271055,102271200,798,24,292.6933333,0.014945886,"ScnbKXS_16761;HRSCAF=20580",16761,99.315,146,0,1,3707,3851,241064,240919,0.000000000000000000000000000000000000000000000000000000000000000000373,263
"212",16761,244596,244637,"L.10",102267523,102267482,798,24,292.6933333,0.014945886,"ScnbKXS_16761;HRSCAF=20580",16761,100,42,0,0,1,42,244596,244637,0.0000000000145,78.7
"213",16761,245064,241879,"L.10",102267055,102270240,798,24,292.6933333,0.014945886,"ScnbKXS_16761;HRSCAF=20580",16761,99.624,3188,6,6,36,3219,245064,241879,0,5816
"214",16737,989933,990272,"L.10",95036474,95036135,5741,24,207.5333333,0.014565248,"ScnbKXS_16737;HRSCAF=20534",16737,100,340,0,0,1,340,989933,990272,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000864,628
"216",16737,990546,990664,"L.10",95035861,95035743,5741,24,207.5333333,0.014565248,"ScnbKXS_16737;HRSCAF=20534",16737,100,119,0,0,422,540,990546,990664,0.000000000000000000000000000000000000000000000000000000616,220
"218",16737,991819,991882,"L.10",95034588,95034525,5741,24,207.5333333,0.014565248,"ScnbKXS_16737;HRSCAF=20534",16737,100,64,0,0,619,682,991819,991882,0.00000000000000000000000231,119
"223",16737,994712,994785,"L.10",95031695,95031622,5741,24,207.5333333,0.014565248,"ScnbKXS_16737;HRSCAF=20534",16737,100,74,0,0,1111,1184,994712,994785,0.00000000000000000000000000000638,137
"225",11619,25855214,25855149,"L.10",56736882,56736947,7982,24,138.8666667,0.01456104,"ScnbKXS_11619;HRSCAF=13537",11619,100,66,0,0,970,1035,25855214,25855149,0.000000000000000000000000162,122
"226",11619,25855356,25855277,"L.10",56736740,56736819,7982,24,138.8666667,0.01456104,"ScnbKXS_11619;HRSCAF=13537",11619,100,80,0,0,890,969,25855356,25855277,0.00000000000000000000000000000000267,148
"227",11619,25855597,25855467,"L.10",56736499,56736629,7982,24,138.8666667,0.01456104,"ScnbKXS_11619;HRSCAF=13537",11619,99.237,131,1,0,760,890,25855597,25855467,0.00000000000000000000000000000000000000000000000000000000000554,237
"229",11619,25856439,25856349,"L.10",56735657,56735747,7982,24,138.8666667,0.01456104,"ScnbKXS_11619;HRSCAF=13537",11619,100,91,0,0,587,677,25856439,25856349,0.00000000000000000000000000000000000000205,169
"235",11619,25917659,25917707,"L.10",56674437,56674389,7982,24,138.8666667,0.01456104,"ScnbKXS_11619;HRSCAF=13537",11619,100,49,0,0,14,62,25917659,25917707,0.000000000000000456,91.6
"237",7159,48420,48335,"L.10",100745518,100745603,111,24,241.3333333,0.013938146,"ScnbKXS_7159;HRSCAF=8385",7159,100,86,0,0,1334,1419,48420,48335,0.0000000000000000000000000000000000021,159
"242",7159,50198,50086,"L.10",100743740,100743852,111,24,241.3333333,0.013938146,"ScnbKXS_7159;HRSCAF=8385",7159,99.115,113,1,0,827,939,50198,50086,0.0000000000000000000000000000000000000000000000000955,204
"243",7159,50373,50290,"L.10",100743565,100743648,111,24,241.3333333,0.013938146,"ScnbKXS_7159;HRSCAF=8385",7159,100,84,0,0,746,829,50373,50290,0.0000000000000000000000000000000000271,156
"244",7159,50609,50582,"L.10",100743329,100743356,111,24,241.3333333,0.013938146,"ScnbKXS_7159;HRSCAF=8385",7159,100,28,0,0,720,747,50609,50582,0.000366,52.8
"246",7159,50749,50696,"L.10",100743189,100743242,111,24,241.3333333,0.013938146,"ScnbKXS_7159;HRSCAF=8385",7159,100,54,0,0,669,722,50749,50696,0.00000000000000000129,100
"249",14035,33790,33180,"L.10",101074772,101075382,620,24,231.42,0.013806618,"ScnbKXS_14035;HRSCAF=16375",14035,99.673,611,1,1,1251,1860,33790,33180,0,1116
"250",14035,34258,33964,"L.10",101074304,101074598,620,24,231.42,0.013806618,"ScnbKXS_14035;HRSCAF=16375",14035,100,295,0,0,958,1252,34258,33964,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000142,545
"251",14035,34731,34502,"L.10",101073831,101074060,620,24,231.42,0.013806618,"ScnbKXS_14035;HRSCAF=16375",14035,100,230,0,0,730,959,34731,34502,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000193,425
"252",14035,35745,35126,"L.10",101072817,101073436,620,24,231.42,0.013806618,"ScnbKXS_14035;HRSCAF=16375",14035,99.195,621,2,3,117,735,35745,35126,0,1116
"253",14035,36449,36326,"L.10",101072113,101072236,620,24,231.42,0.013806618,"ScnbKXS_14035;HRSCAF=16375",14035,100,124,0,0,1,124,36449,36326,0.00000000000000000000000000000000000000000000000000000000162,230
"254",5766,109006,111690,"L.10",144691079,144688395,6965,24,256.9733333,0.01242632,"ScnbKXS_5766;HRSCAF=6763",5766,99.184,2695,11,5,2,2695,109006,111690,0,4844
"255",5766,112667,113106,"L.10",144687418,144686979,6965,24,256.9733333,0.01242632,"ScnbKXS_5766;HRSCAF=6763",5766,99.773,440,1,0,2693,3132,112667,113106,0,808
"258",8977,31533,31390,"L.10",107683647,107683790,3130,24,415.1733333,0.011323586,"ScnbKXS_8977;HRSCAF=10488",8977,99.306,144,1,0,3161,3304,31533,31390,0.00000000000000000000000000000000000000000000000000000000000000000116,261
"259",8977,31706,31608,"L.10",107683474,107683572,3130,24,415.1733333,0.011323586,"ScnbKXS_8977;HRSCAF=10488",8977,100,99,0,0,3070,3168,31706,31608,0.000000000000000000000000000000000000000000259,183
"260",8977,32092,31905,"L.10",107683088,107683275,3130,24,415.1733333,0.011323586,"ScnbKXS_8977;HRSCAF=10488",8977,100,188,0,0,2886,3073,32092,31905,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000869,348
